seed,query_index,query_id,affected_by_drift,old_policy_correct,old_policy_action,adapted_policy_correct,adapted_policy_action,full_retrain_policy_correct,full_retrain_policy_action
2,0,doc-q-000,False,1,0,1,0,1,0
2,1,doc-q-001,True,0,0,1,1,1,1
2,2,doc-q-002,True,0,0,1,1,1,1
2,3,doc-q-003,False,1,0,1,1,1,1
2,4,doc-q-004,True,1,1,1,1,1,1
2,5,doc-q-005,True,0,0,1,1,1,1
2,6,doc-q-006,True,0,0,1,1,1,1
2,7,doc-q-007,True,0,0,0,1,0,0
2,8,doc-q-008,True,0,0,1,1,1,1
2,9,doc-q-009,True,0,0,1,1,1,1
2,10,doc-q-010,True,0,0,0,0,0,0
2,11,doc-q-011,True,0,0,0,0,0,0
2,12,doc-q-012,False,1,0,1,0,1,0
2,13,doc-q-013,False,1,0,1,0,1,0
2,14,doc-q-014,True,0,0,1,1,1,1
2,15,doc-q-015,True,0,0,1,1,1,1
2,16,doc-q-016,True,0,0,1,1,1,1
2,17,doc-q-017,True,0,0,1,1,1,1
2,18,doc-q-018,False,1,0,1,0,1,0
2,19,doc-q-019,True,0,0,1,1,1,1
2,20,doc-q-020,True,0,0,1,1,1,1
2,21,doc-q-021,True,0,0,1,1,1,1
2,22,doc-q-022,True,0,0,1,1,1,1
2,23,doc-q-023,True,0,0,1,1,1,1
2,24,doc-q-024,False,1,0,1,1,1,0
2,25,doc-q-025,True,0,0,1,1,1,1
2,26,doc-q-026,True,0,0,0,0,0,0
2,27,doc-q-027,True,0,0,1,1,1,1
2,28,doc-q-028,False,1,0,1,0,1,0
2,29,doc-q-029,False,1,0,1,1,1,1
2,30,doc-q-030,False,1,0,1,0,1,0
2,31,doc-q-031,True,0,0,1,1,1,1
2,32,doc-q-032,True,0,0,1,1,1,1
2,33,doc-q-033,False,1,0,1,0,1,0
2,34,doc-q-034,False,1,0,1,0,1,0
2,35,doc-q-035,True,0,0,1,1,1,1
2,36,doc-q-036,False,1,0,1,0,1,0
2,37,doc-q-037,False,1,0,1,0,1,0
2,38,doc-q-038,True,0,0,0,0,1,1
2,39,doc-q-039,False,1,0,1,0,1,0
2,40,doc-q-040,False,1,0,1,0,1,0
2,41,doc-q-041,True,0,0,1,1,1,1
2,42,doc-q-042,False,1,0,1,0,1,0
2,43,doc-q-043,False,1,0,1,0,1,0
2,44,doc-q-044,True,0,0,1,1,1,1
2,45,doc-q-045,False,1,0,1,0,1,0
2,46,doc-q-046,False,1,0,1,0,1,0
2,47,doc-q-047,True,0,0,1,1,1,1
2,48,doc-q-048,False,1,0,1,0,1,0
2,49,doc-q-049,True,0,0,1,1,0,0
2,50,doc-q-050,True,0,0,1,1,1,1
2,51,doc-q-051,True,0,0,1,1,1,1
2,52,doc-q-052,False,1,0,1,1,1,0
2,53,doc-q-053,False,1,0,1,1,1,1
2,54,doc-q-054,False,1,0,1,1,1,0
2,55,doc-q-055,False,1,0,1,0,1,0
2,56,doc-q-056,False,1,0,1,1,1,0
2,57,doc-q-057,False,1,0,1,1,1,1
2,58,doc-q-058,True,0,0,1,1,1,1
2,59,doc-q-059,False,1,0,1,1,1,1
2,60,doc-q-060,True,0,0,0,1,0,1
2,61,doc-q-061,False,1,0,1,0,1,0
2,62,doc-q-062,False,1,0,1,0,1,0
2,63,doc-q-063,False,1,0,1,0,1,0
2,64,doc-q-064,True,0,0,1,1,1,1
2,65,doc-q-065,False,1,0,1,0,1,0
2,66,doc-q-066,False,1,0,1,1,1,1
2,67,doc-q-067,False,1,0,1,1,1,1
2,68,doc-q-068,False,1,0,1,0,1,0
2,69,doc-q-069,False,1,0,1,0,1,0
2,70,doc-q-070,False,1,0,1,0,1,0
2,71,doc-q-071,False,1,0,1,0,1,0
2,72,doc-q-072,False,1,0,1,1,1,1
2,73,doc-q-073,False,1,0,1,1,1,1
2,74,doc-q-074,False,1,0,1,0,1,0
2,75,doc-q-075,True,0,0,1,1,1,1
2,76,doc-q-076,True,0,0,1,1,1,1
2,77,doc-q-077,True,0,0,1,1,1,1
2,78,doc-q-078,True,0,0,1,1,1,1
2,79,doc-q-079,True,0,0,0,0,0,0
2,80,doc-q-080,True,0,0,1,1,1,1
2,81,doc-q-081,True,0,0,1,1,1,1
2,82,doc-q-082,True,0,0,0,1,0,1
2,83,doc-q-083,True,0,0,1,1,1,1
2,84,doc-q-084,True,0,0,0,1,0,1
2,85,doc-q-085,True,0,0,1,1,1,1
2,86,doc-q-086,True,0,0,0,0,0,0
2,87,doc-q-087,True,0,0,1,1,1,1
2,88,doc-q-088,False,1,0,1,0,1,0
2,89,doc-q-089,False,1,0,1,0,1,0
2,90,doc-q-090,False,1,0,1,0,1,0
2,91,doc-q-091,False,1,0,1,0,1,0
2,92,doc-q-092,True,0,0,0,0,1,1
2,93,doc-q-093,False,1,0,1,0,1,0
2,94,doc-q-094,False,1,0,1,0,1,0
2,95,doc-q-095,False,1,0,1,1,1,0
2,96,doc-q-096,True,0,0,1,1,1,1
2,97,doc-q-097,False,1,0,1,0,1,0
2,98,doc-q-098,False,1,0,1,0,1,0
2,99,doc-q-099,False,1,0,1,0,1,0
2,100,doc-q-100,True,0,0,0,0,0,0
2,101,doc-q-101,True,0,0,0,0,0,0
2,102,doc-q-102,True,0,0,0,0,0,0
2,103,doc-q-103,True,0,0,0,0,0,1
2,104,doc-q-104,False,1,0,1,0,1,0
2,105,doc-q-105,True,0,0,1,1,1,1
2,106,doc-q-106,False,1,0,1,0,1,0
2,107,doc-q-107,True,0,0,1,1,1,1
2,108,doc-q-108,False,1,0,1,1,1,1
2,109,doc-q-109,True,0,0,1,1,1,1
2,110,doc-q-110,False,1,0,1,0,1,0
2,111,doc-q-111,True,0,0,1,1,0,0
2,112,doc-q-112,False,1,0,1,1,1,1
2,113,doc-q-113,False,1,0,0,1,0,1
2,114,doc-q-114,False,1,0,1,0,1,0
2,115,doc-q-115,True,0,0,1,1,1,1
2,116,doc-q-116,False,1,0,1,1,1,1
2,117,doc-q-117,False,1,0,1,0,1,0
2,118,doc-q-118,True,0,0,0,0,1,1
2,119,doc-q-119,False,1,0,1,0,1,0
2,120,doc-q-120,True,0,0,0,0,1,1
2,121,doc-q-121,False,1,0,1,0,1,0
2,122,doc-q-122,True,0,0,0,0,1,1
2,123,doc-q-123,False,1,0,1,0,1,0
2,124,doc-q-124,True,0,0,1,1,1,1
2,125,doc-q-125,False,1,0,1,0,1,0
2,126,doc-q-126,True,0,0,1,1,1,1
2,127,doc-q-127,False,1,0,1,0,1,0
2,128,doc-q-128,True,0,0,0,1,0,1
2,129,doc-q-129,True,0,0,1,1,1,1
2,130,doc-q-130,False,1,0,1,0,1,0
2,131,doc-q-131,False,1,0,1,1,1,0
2,132,doc-q-132,True,0,0,1,1,0,0
2,133,doc-q-133,False,1,0,1,0,1,0
2,134,doc-q-134,True,0,0,0,0,0,0
2,135,doc-q-135,False,1,0,1,0,1,0
2,136,doc-q-136,True,0,0,1,1,1,1
2,137,doc-q-137,True,0,0,1,1,1,1
2,138,doc-q-138,False,1,0,1,1,1,1
2,139,doc-q-139,False,1,0,1,1,1,1
2,140,doc-q-140,False,1,0,1,0,1,0
2,141,doc-q-141,True,0,0,1,1,1,1
2,142,doc-q-142,True,0,0,1,1,1,1
2,143,doc-q-143,False,1,0,1,0,1,0
2,144,doc-q-144,False,1,0,1,0,1,0
2,145,doc-q-145,False,1,0,1,0,1,0
2,146,doc-q-146,True,0,0,0,0,0,0
2,147,doc-q-147,True,0,0,0,0,0,0
2,148,doc-q-148,True,0,0,1,1,1,1
2,149,doc-q-149,False,1,0,1,1,1,1
2,150,doc-q-150,False,1,0,1,0,1,0
2,151,doc-q-151,False,1,0,1,0,1,0
2,152,doc-q-152,True,0,0,0,0,0,0
2,153,doc-q-153,True,0,0,1,1,1,1
2,154,doc-q-154,True,0,0,0,1,0,1
2,155,doc-q-155,True,1,1,1,1,1,1
2,156,doc-q-156,False,1,0,1,1,1,1
