seed,query_index,query_id,affected_by_drift,old_policy_correct,old_policy_action,adapted_policy_correct,adapted_policy_action,full_retrain_policy_correct,full_retrain_policy_action
0,0,doc-q-000,False,1,0,1,0,1,0
0,1,doc-q-001,True,0,0,1,1,1,1
0,2,doc-q-002,True,0,0,1,1,1,1
0,3,doc-q-003,False,1,0,1,1,1,1
0,4,doc-q-004,True,0,0,1,1,1,1
0,5,doc-q-005,True,0,0,1,1,1,1
0,6,doc-q-006,True,0,0,1,1,1,1
0,7,doc-q-007,True,0,0,0,1,0,1
0,8,doc-q-008,True,0,0,1,1,1,1
0,9,doc-q-009,True,0,0,1,1,1,1
0,10,doc-q-010,True,0,0,1,1,1,1
0,11,doc-q-011,True,0,0,1,1,1,1
0,12,doc-q-012,False,1,0,1,0,1,0
0,13,doc-q-013,False,1,0,1,0,1,1
0,14,doc-q-014,True,0,0,1,1,1,1
0,15,doc-q-015,True,0,0,1,1,1,1
0,16,doc-q-016,True,0,0,1,1,1,1
0,17,doc-q-017,True,0,0,1,1,1,1
0,18,doc-q-018,False,1,0,1,1,1,0
0,19,doc-q-019,True,0,0,1,1,1,1
0,20,doc-q-020,True,0,0,1,1,1,1
0,21,doc-q-021,True,0,0,1,1,1,1
0,22,doc-q-022,True,0,0,1,1,1,1
0,23,doc-q-023,True,0,0,1,1,1,1
0,24,doc-q-024,False,1,0,1,1,1,1
0,25,doc-q-025,True,0,0,1,1,1,1
0,26,doc-q-026,True,0,0,0,0,0,0
0,27,doc-q-027,True,0,0,0,1,0,1
0,28,doc-q-028,False,1,0,1,1,1,0
0,29,doc-q-029,False,1,0,1,1,1,1
0,30,doc-q-030,False,1,0,0,1,0,1
0,31,doc-q-031,True,0,0,1,1,1,1
0,32,doc-q-032,True,0,0,1,1,1,1
0,33,doc-q-033,False,1,0,1,0,1,0
0,34,doc-q-034,False,1,0,1,0,1,0
0,35,doc-q-035,True,0,0,1,1,1,1
0,36,doc-q-036,False,1,0,1,0,1,0
0,37,doc-q-037,False,1,0,1,0,1,0
0,38,doc-q-038,True,0,0,1,1,1,1
0,39,doc-q-039,False,1,0,1,0,1,0
0,40,doc-q-040,False,1,0,1,0,1,0
0,41,doc-q-041,True,0,0,1,1,1,1
0,42,doc-q-042,False,1,0,1,0,1,0
0,43,doc-q-043,False,1,0,1,0,1,0
0,44,doc-q-044,True,0,0,1,1,1,1
0,45,doc-q-045,False,1,0,1,0,1,0
0,46,doc-q-046,False,1,0,1,0,1,0
0,47,doc-q-047,True,0,0,1,1,1,1
0,48,doc-q-048,False,1,0,1,0,1,0
0,49,doc-q-049,True,0,0,1,1,1,1
0,50,doc-q-050,True,0,0,1,1,1,1
0,51,doc-q-051,True,0,0,1,1,1,1
0,52,doc-q-052,False,1,0,1,0,1,0
0,53,doc-q-053,False,1,0,1,1,1,1
0,54,doc-q-054,False,1,0,1,1,1,1
0,55,doc-q-055,False,1,0,1,0,1,0
0,56,doc-q-056,False,1,0,1,1,1,1
0,57,doc-q-057,False,1,0,1,1,1,1
0,58,doc-q-058,True,0,0,1,1,1,1
0,59,doc-q-059,False,1,0,1,1,1,1
0,60,doc-q-060,True,0,0,0,1,0,1
0,61,doc-q-061,False,1,0,1,0,1,0
0,62,doc-q-062,False,1,0,1,1,1,1
0,63,doc-q-063,False,1,0,1,0,1,0
0,64,doc-q-064,True,0,0,1,1,1,1
0,65,doc-q-065,False,1,0,1,0,1,0
0,66,doc-q-066,False,1,0,1,1,1,1
0,67,doc-q-067,False,1,0,1,1,1,1
0,68,doc-q-068,False,1,0,1,0,1,0
0,69,doc-q-069,False,1,0,1,1,1,1
0,70,doc-q-070,False,1,0,1,1,1,1
0,71,doc-q-071,False,1,0,1,0,1,0
0,72,doc-q-072,False,1,0,1,0,1,0
0,73,doc-q-073,False,1,0,1,1,1,1
0,74,doc-q-074,False,1,0,1,0,1,0
0,75,doc-q-075,True,0,0,1,1,1,1
0,76,doc-q-076,True,0,0,1,1,1,1
0,77,doc-q-077,True,0,0,1,1,1,1
0,78,doc-q-078,True,0,0,0,1,0,1
0,79,doc-q-079,True,0,0,0,0,1,1
0,80,doc-q-080,True,0,0,1,1,1,1
